iter	Passed	Remaining
0	153	153003
1	156	78006
2	159	52893
3	163	40647
4	165	32992
5	167	27830
6	170	24128
7	171	21295
8	173	19097
9	175	17350
10	177	15961
11	178	14735
12	180	13694
13	181	12811
14	183	12036
15	184	11362
16	186	10773
17	187	10246
18	189	9772
19	191	9381
20	193	9002
21	194	8644
22	195	8313
23	197	8011
24	198	7751
25	200	7511
26	201	7274
27	203	7054
28	205	6878
29	206	6692
30	208	6516
31	209	6342
32	210	6182
33	212	6040
34	214	5902
35	215	5768
36	216	5640
37	218	5525
38	220	5424
39	221	5316
40	222	5213
41	224	5116
42	225	5023
43	227	4936
44	228	4852
45	229	4767
46	231	4688
47	232	4618
48	234	4558
49	236	4489
50	237	4423
51	239	4359
52	240	4296
53	241	4237
54	243	4183
55	244	4126
56	246	4071
57	248	4035
58	249	3983
59	251	3936
60	252	3887
61	253	3840
62	255	3797
63	256	3753
64	257	3710
65	259	3668
66	260	3626
67	261	3584
68	263	3551
69	264	3515
70	265	3479
71	267	3444
72	268	3412
73	270	3379
74	271	3348
75	272	3315
76	274	3284
77	275	3259
78	277	3237
79	278	3208
80	280	3180
81	281	3151
82	282	3124
83	284	3099
84	285	3069
85	286	3045
86	287	3017
87	288	2994
88	290	2978
89	292	2956
90	293	2935
91	295	2914
92	296	2893
93	298	2872
94	299	2852
95	300	2832
96	302	2812
97	303	2791
98	304	2774
99	306	2757
100	307	2740
101	308	2716
102	309	2698
103	311	2681
104	312	2663
105	313	2647
106	315	2632
107	316	2616
108	318	2601
109	319	2587
110	321	2572
111	322	2557
112	323	2542
113	325	2529
114	326	2514
115	327	2497
116	329	2484
117	330	2470
118	331	2455
119	333	2444
120	335	2434
121	336	2422
122	337	2405
123	338	2392
124	339	2379
125	341	2368
126	342	2356
127	343	2341
128	345	2329
129	346	2318
130	347	2307
131	349	2300
132	351	2289
133	352	2278
134	353	2267
135	355	2257
136	356	2246
137	357	2234
138	359	2223
139	360	2214
140	362	2206
141	363	2199
142	365	2189
143	366	2179
144	368	2170
145	369	2160
146	370	2150
147	372	2141
148	373	2132
149	374	2123
150	376	2114
151	377	2105
152	378	2097
153	380	2090
154	381	2080
155	382	2071
156	384	2063
157	385	2054
158	386	2045
159	388	2037
160	389	2030
161	391	2023
162	392	2015
163	393	2008
164	395	2001
165	396	1993
166	398	1985
167	399	1978
168	400	1970
169	401	1962
170	403	1954
171	404	1947
172	406	1941
173	407	1935
174	408	1927
175	410	1920
176	411	1913
177	412	1906
178	414	1900
179	415	1894
180	416	1884
181	418	1878
182	420	1875
183	421	1870
184	423	1864
185	424	1857
186	425	1852
187	427	1845
188	428	1840
189	430	1834
190	431	1828
191	432	1821
192	434	1816
193	435	1811
194	437	1805
195	438	1799
196	440	1793
197	441	1787
198	442	1781
199	443	1775
200	445	1769
201	446	1765
202	448	1762
203	450	1758
204	451	1752
205	453	1746
206	454	1741
207	455	1735
208	457	1730
209	458	1725
210	459	1719
211	461	1714
212	463	1710
213	464	1706
214	465	1701
215	467	1695
216	468	1690
217	469	1685
218	471	1679
219	472	1674
220	473	1669
221	474	1664
222	476	1659
223	477	1655
224	479	1650
225	480	1645
226	481	1640
227	483	1635
228	484	1630
229	485	1625
230	486	1620
231	488	1615
232	489	1610
233	490	1605
234	491	1600
235	493	1596
236	494	1592
237	495	1587
238	497	1582
239	498	1577
240	499	1572
241	500	1568
242	501	1563
243	503	1558
244	504	1553
245	505	1549
246	506	1545
247	508	1541
248	509	1536
249	510	1532
250	511	1527
251	513	1522
252	514	1518
253	515	1513
254	516	1508
255	517	1504
256	519	1500
257	520	1495
258	521	1492
259	523	1488
260	524	1484
261	525	1480
262	526	1475
263	527	1471
264	529	1467
265	530	1463
266	531	1459
267	532	1455
268	534	1451
269	535	1446
270	536	1443
271	537	1439
272	539	1435
273	540	1432
274	541	1428
275	542	1424
276	544	1420
277	545	1416
278	546	1412
279	547	1408
280	548	1404
281	550	1400
282	551	1397
283	553	1394
284	554	1391
285	555	1387
286	557	1383
287	558	1380
288	559	1376
289	560	1372
290	562	1369
291	563	1365
292	564	1362
293	566	1359
294	567	1356
295	568	1352
296	570	1349
297	571	1345
298	572	1342
299	573	1338
300	574	1335
301	576	1332
302	577	1328
303	578	1325
304	580	1322
305	581	1319
306	582	1315
307	584	1312
308	585	1308
309	586	1305
310	587	1302
311	589	1299
312	590	1296
313	591	1292
314	593	1289
315	594	1286
316	595	1283
317	597	1280
318	598	1277
319	600	1275
320	601	1272
321	602	1269
322	604	1266
323	605	1263
324	606	1259
325	607	1256
326	609	1254
327	610	1251
328	612	1248
329	613	1245
330	614	1242
331	616	1239
332	617	1236
333	618	1233
334	619	1230
335	621	1227
336	622	1224
337	623	1222
338	625	1219
339	626	1216
340	628	1213
341	629	1210
342	630	1208
343	631	1205
344	633	1202
345	634	1199
346	635	1196
347	636	1193
348	638	1190
349	639	1188
350	640	1185
351	642	1182
352	643	1179
353	644	1176
354	645	1173
355	646	1170
356	648	1167
357	649	1165
358	651	1162
359	652	1159
360	654	1157
361	655	1155
362	656	1152
363	658	1150
364	659	1147
365	660	1144
366	662	1142
367	663	1139
368	664	1136
369	666	1134
370	667	1131
371	669	1129
372	670	1127
373	671	1124
374	673	1121
375	674	1119
376	675	1116
377	677	1114
378	678	1111
379	679	1108
380	680	1105
381	682	1103
382	683	1101
383	685	1098
384	686	1096
385	687	1093
386	688	1091
387	690	1088
388	691	1086
389	692	1083
390	694	1080
391	695	1078
392	696	1076
393	698	1074
394	699	1071
395	701	1069
396	702	1067
397	704	1064
398	705	1062
399	706	1059
400	707	1057
401	709	1055
402	710	1052
403	712	1051
404	714	1048
405	715	1046
406	716	1044
407	718	1042
408	719	1039
409	720	1037
410	722	1034
411	723	1032
412	724	1030
413	726	1028
414	728	1026
415	729	1023
416	730	1021
417	731	1018
418	733	1016
419	734	1014
420	735	1012
421	737	1010
422	738	1007
423	740	1006
424	742	1004
425	743	1001
426	744	999
427	746	997
428	747	995
429	749	993
430	750	990
431	751	988
432	755	988
433	756	987
434	758	984
435	759	982
436	761	980
437	762	978
438	764	976
439	765	974
440	767	972
441	768	970
442	771	969
443	772	967
444	774	965
445	775	963
446	777	962
447	779	960
448	781	958
449	783	958
450	786	956
451	787	955
452	789	953
453	790	951
454	792	949
455	794	947
456	796	945
457	797	943
458	799	941
459	800	939
460	802	937
461	803	935
462	805	933
463	806	931
464	807	929
465	809	927
466	810	924
467	812	923
468	814	921
469	815	919
470	817	918
471	819	916
472	821	914
473	822	913
474	824	911
475	828	911
476	829	909
477	831	907
478	832	905
479	834	903
480	835	901
481	837	899
482	838	897
483	840	895
484	842	894
485	844	892
486	845	891
487	847	889
488	848	886
489	850	884
490	851	883
491	853	881
492	854	878
493	856	876
494	857	874
495	858	872
496	860	870
497	861	868
498	862	866
499	864	864
500	865	862
501	866	859
502	868	857
503	869	855
504	871	854
505	873	852
506	874	850
507	875	848
508	877	846
509	878	844
510	879	842
511	881	840
512	882	838
513	884	836
514	886	834
515	887	832
516	889	830
517	890	828
518	891	826
519	893	824
520	894	822
521	896	821
522	898	819
523	900	818
524	902	816
525	904	814
526	905	813
527	907	811
528	908	808
529	909	806
530	911	805
531	912	803
532	914	801
533	915	799
534	917	797
535	918	794
536	920	793
537	921	791
538	923	789
539	924	787
540	925	785
541	927	783
542	928	781
543	930	779
544	932	778
545	933	776
546	935	774
547	938	773
548	939	771
549	941	769
550	942	767
551	944	766
552	945	764
553	946	762
554	948	760
555	950	758
556	951	756
557	953	755
558	955	753
559	957	752
560	958	750
561	960	748
562	962	746
563	964	745
564	965	743
565	966	741
566	968	739
567	969	737
