iter	Passed	Remaining
0	5	5816
1	9	4666
2	10	3502
3	11	2886
4	12	2544
5	16	2733
6	21	3065
7	23	2881
8	24	2690
9	25	2565
10	27	2452
11	28	2345
12	33	2543
13	35	2492
14	36	2422
15	39	2424
16	42	2435
17	45	2456
18	49	2536
19	52	2587
20	54	2532
21	55	2467
22	56	2408
23	64	2628
24	66	2609
25	68	2554
26	69	2512
27	71	2467
28	77	2603
29	82	2672
30	84	2637
31	85	2594
32	86	2545
33	92	2616
34	94	2606
35	97	2608
36	98	2576
37	100	2543
38	101	2507
39	104	2507
40	106	2495
41	109	2506
42	110	2470
43	112	2437
44	113	2418
45	115	2390
46	119	2414
47	121	2400
48	125	2433
49	126	2405
50	127	2376
51	128	2347
52	135	2420
53	138	2431
54	140	2416
55	141	2389
56	142	2363
57	143	2335
58	144	2310
59	149	2343
60	153	2358
61	154	2335
62	155	2313
63	156	2290
64	157	2269
65	159	2250
66	162	2261
67	166	2282
68	169	2280
69	170	2261
70	171	2242
71	172	2222
72	173	2205
73	178	2239
74	182	2252
75	184	2242
76	185	2224
77	186	2208
78	188	2192
79	191	2197
80	193	2192
81	196	2200
82	197	2182
83	200	2184
84	201	2173
85	204	2172
86	208	2186
87	211	2192
88	212	2178
89	213	2162
90	215	2150
91	217	2142
92	219	2142
93	222	2143
94	224	2138
95	225	2125
96	226	2112
97	228	2105
98	229	2092
99	230	2078
100	233	2075
101	236	2078
102	240	2093
103	241	2081
104	242	2070
105	244	2060
106	245	2050
107	248	2051
108	250	2047
109	252	2040
110	253	2029
111	254	2020
112	256	2010
113	257	2002
114	259	1993
115	260	1982
116	263	1987
117	265	1985
118	268	1985
119	270	1980
120	271	1971
121	272	1959
122	274	1954
123	276	1955
124	278	1952
125	280	1945
126	281	1935
127	282	1925
128	283	1915
129	285	1909
130	286	1900
131	288	1897
132	290	1895
133	292	1888
134	294	1888
135	296	1880
136	297	1871
137	298	1862
138	299	1854
139	300	1845
140	302	1840
141	303	1832
142	305	1831
143	307	1830
144	309	1824
145	310	1817
146	311	1809
147	313	1801
148	314	1795
149	315	1788
150	316	1780
151	317	1772
152	320	1774
153	323	1778
154	324	1771
155	326	1765
156	327	1758
157	328	1751
158	329	1743
159	330	1736
160	331	1728
161	333	1723
162	336	1728
163	338	1723
164	339	1716
165	340	1709
166	341	1702
167	342	1696
168	343	1689
169	345	1684
170	346	1678
171	347	1672
172	350	1677
173	352	1673
174	353	1667
175	355	1662
176	356	1658
177	358	1653
178	359	1650
179	360	1644
180	383	1734
181	384	1729
182	386	1723
183	387	1717
184	388	1713
185	390	1708
186	391	1702
187	392	1696
188	396	1701
189	398	1700
190	400	1694
191	401	1689
192	402	1684
193	404	1679
194	405	1673
195	406	1667
196	409	1668
197	412	1671
198	414	1668
199	415	1663
200	417	1658
201	418	1652
202	419	1647
203	421	1644
204	425	1651
205	427	1647
206	429	1644
207	430	1639
208	432	1635
209	433	1629
210	434	1624
211	435	1619
212	436	1613
213	441	1621
214	443	1620
